name,category_id,color,size,design,mrp,pack_size,id,client_id,client_vendor_id,centre_id,cpid,hsn_code,hsn_id,price
EMILI 4_5Y 6D | NR226554,1051,Mint,4_5Y,NR226554,99,1,102686,22095,4078,20074,103781,61046200,374,55
EMILI 6_7Y 6D | NR226555,1051,Mint,6_7Y,NR226555,99,1,102687,22095,4078,20074,103782,61046200,374,55
EMILI 8_9Y 6D | NR226556,1051,Mint,8_9Y,NR226556,99,1,102688,22095,4078,20074,103783,61046200,374,55
EMILI 2_3Y 6D | NR226557,1051,Red,2_3Y,NR226557,99,1,102689,22095,4078,20074,103784,61046200,374,55
EMILI 4_5Y 6D | NR226558,1051,Red,4_5Y,NR226558,99,1,102690,22095,4078,20074,103785,61046200,374,55
EMILI 6_7Y 6D | NR226559,1051,Red,6_7Y,NR226559,99,1,102691,22095,4078,20074,103786,61046200,374,55
EMILI 8_9Y 6D | NR226560,1051,Red,8_9Y,NR226560,99,1,102692,22095,4078,20074,103787,61046200,374,55
EMILI 2_3Y 6D | NR226561,1051,Sky Blue,2_3Y,NR226561,99,1,102693,22095,4078,20074,103788,61046200,374,55
EMILI 4_5Y 6D | NR226562,1051,Sky Blue,4_5Y,NR226562,99,1,102694,22095,4078,20074,103789,61046200,374,55
EMILI 6_7Y 6D | NR226563,1051,Sky Blue,6_7Y,NR226563,99,1,102695,22095,4078,20074,103790,61046200,374,55
EMILI 8_9Y 6D | NR226564,1051,Sky Blue,8_9Y,NR226564,99,1,102696,22095,4078,20074,103791,61046200,374,55
EMILI 2_3Y 6D | NR226565,1051,Lemon,2_3Y,NR226565,99,1,102697,22095,4078,20074,103792,61046200,374,55
EMILI 4_5Y 6D | NR226566,1051,Lemon,4_5Y,NR226566,99,1,102698,22095,4078,20074,103793,61046200,374,55
EMILI 6_7Y 6D | NR226567,1051,Lemon,6_7Y,NR226567,99,1,102699,22095,4078,20074,103794,61046200,374,55
EMILI 8_9Y 6D | NR226568,1051,Lemon,8_9Y,NR226568,99,1,102700,22095,4078,20074,103795,61046200,374,55
EMILI 2_3Y 6D | NR226569,1051,Pink,2_3Y,NR226569,99,1,102701,22095,4078,20074,103796,61046200,374,55
EMILI 4_5Y 6D | NR226570,1051,Pink,4_5Y,NR226570,99,1,102702,22095,4078,20074,103797,61046200,374,55
EMILI 6_7Y 6D | NR226571,1051,Pink,6_7Y,NR226571,99,1,102703,22095,4078,20074,103798,61046200,374,55
EMILI 8_9Y 6D | NR226572,1051,Pink,8_9Y,NR226572,99,1,102704,22095,4078,20074,103799,61046200,374,55
EMILI 2_3Y 6D | NR226573,1051,White,2_3Y,NR226573,99,1,102705,22095,4078,20074,103800,61046200,374,55
EMILI 4_5Y 6D | NR226574,1051,White,4_5Y,NR226574,99,1,102706,22095,4078,20074,103801,61046200,374,55
EMILI 6_7Y 6D | NR226575,1051,White,6_7Y,NR226575,99,1,102707,22095,4078,20074,103802,61046200,374,55
EMILI 8_9Y 6D | NR226576,1051,White,8_9Y,NR226576,99,1,102708,22095,4078,20074,103803,61046200,374,55
EMILI 10_11Y 2D | NR226601,1051,Sky Blue,10_11Y,NR226601,99,1,102709,22095,4078,20074,103804,61046200,374,62
EMILI 12_13Y 2D | NR226602,1051,Sky Blue,12_13Y,NR226602,99,1,102710,22095,4078,20074,103805,61046200,374,62
